vendor_name,vendor_id,bank_account,invoice_number,invoice_date,due_date,unit_price,quantity,total_amount,tax_amount,payment_terms,department,approver_name,fraud,is_duplicate,days_to_due,weekend_submission,amount_threshold_proximity,line_item_price_consistency
Galvan Group,V044,MLYO91710575450704,INV-77476,2026-05-18,2026-07-02,3500,3,10500,1890.0,45,HR,Joseph Munoz,0,0,45,0,89500,1
"Rodriguez, Acosta and Le",V017,ITCE62039389260082,INV-77617,2025-09-13,2025-10-13,1372,10,13720,2469.6,30,IT,Donald Casey,0,0,30,1,86280,1
"Silva, Hahn and Benson",V013,ODMQ50596456137110,INV-46415,2026-03-16,2026-03-31,4887,15,73305,13194.9,15,IT,Lisa Jackson,0,0,15,0,26695,1
"Rodriguez, Acosta and Le",V017,YGJN91027726175626,INV-29251,2025-09-06,2025-10-06,1356,12,16272,2928.96,30,HR,Megan Shaw,0,0,30,1,83728,1
"Adams, Hall and Bowman",V030,LOLP79171695252401,INV-12541,2025-10-27,2025-11-11,2956,3,8868,1596.24,15,Procurement,John Brooks,0,0,15,0,91132,1
Smith-Haynes,V008,WQCE41823633619785,INV-91262,2026-03-05,2026-04-19,3031,16,48496,8729.279999999999,45,Procurement,Adam Clark,0,0,45,0,51504,1
Torres and Sons,V020,BCLG43603611307222,INV-59316,2025-06-14,2025-08-13,2212,18,39816,7166.88,60,Finance,William Phillips,0,0,60,1,60184,1
Thompson Group,V032,RQRN21763887846023,INV-44049,2025-08-27,2025-09-26,158,6,948,170.64,30,Finance,Dustin Suarez,0,0,30,0,99052,1
Torres-Cohen,V002,CSKB65053133571649,INV-93475,2025-08-25,2025-09-09,3431,6,20586,3705.48,15,Finance,Brian Thomas,0,0,15,0,79414,1
"Moreno, Bryant and Travis",V026,FETQ39713674430419,INV-23815,2025-07-05,2025-08-04,761,13,9893,1780.74,30,Finance,Caitlyn West,0,0,30,1,90107,1
"Moreno, Bryant and Travis",V026,GVHZ75577832641289,INV-78992,2025-11-09,2025-11-24,4267,1,4267,768.06,15,IT,Karen Frye MD,0,0,15,1,95733,1
"Mckinney, Martinez and Chavez",V007,BGTF19405758575073,INV-81592,2026-03-19,2026-04-03,3646,13,47398,8531.64,15,HR,Christopher Russell,0,0,15,0,52602,1
Campos-Lutz,V042,RXUD70585475075928,INV-28338,2026-02-28,2026-03-30,4278,14,59892,10780.56,30,Procurement,Bruce Williams,0,0,30,1,40108,1
"Mckinney, Martinez and Chavez",V007,EBQH46124202398058,INV-48744,2025-10-13,2025-10-28,3666,14,51324,9238.32,15,IT,Emma Carroll,0,0,15,0,48676,1
"Johnston, Martinez and Lowery",V049,AJGB06568333505632,INV-27120,2025-08-16,2025-09-15,860,18,15480,2786.4,30,Operations,Dr. Daniel Solomon,0,0,30,1,84520,1
"Morrow, Robertson and Lynch",V025,YBDY51966734667097,INV-84085,2025-10-26,2025-11-10,2012,18,36216,6518.88,15,HR,Tammy Anderson,0,0,15,1,63784,1
Williams-Rios,V012,TCAP26005058685640,INV-77524,2025-07-25,2025-08-24,2631,3,7893,1420.74,30,Finance,Justin Jones,0,0,30,0,92107,1
Cherry-Stewart,V018,DNKX97478127379795,INV-90591,2025-07-02,2025-08-01,2346,5,11730,2111.4,30,Procurement,Cory Smith,0,0,30,0,88270,1
Rivera and Sons,V038,ZWUA14606478369815,INV-38529,2026-03-14,2026-04-13,2344,14,32816,5906.88,30,Operations,Troy Meyer,0,0,30,1,67184,1
Richards PLC,V047,YODP71731455005509,INV-73232,2025-12-11,2026-01-10,2814,6,16884,3039.12,30,Finance,Michael Mitchell,0,0,30,0,83116,1
Franklin-Bailey,V021,KHMJ30776239039092,INV-49903,2026-03-19,2026-05-03,4588,6,27528,4955.04,45,Operations,James Morris,0,0,45,0,72472,1
Cherry-Stewart,V018,ARJO31341916154990,INV-27557,2026-01-18,2026-03-19,1850,20,37000,6660.0,60,IT,Paul Callahan,0,0,60,1,63000,1
Roberts-Hunt,V037,SCCP53909428577544,INV-46083,2025-08-03,2025-09-02,4561,15,68415,12314.7,30,Procurement,Angel White,0,0,30,1,31585,1
"Johnston, Martinez and Lowery",V049,LCXO66930700121874,INV-97074,2026-02-08,2026-02-23,3339,3,10017,1803.06,15,Procurement,Teresa Gordon,0,0,15,1,89983,1
"Rodriguez, Acosta and Le",V017,XNMH02681056831886,INV-74964,2026-02-10,2026-03-12,1352,18,24336,4380.48,30,IT,Kevin Cooley,0,0,30,0,75664,1
Payne-Baker,V050,ONWV69937060097201,INV-75421,2025-08-28,2025-09-27,3419,17,58123,10462.14,30,Finance,Andrea Oneill,0,0,30,0,41877,1
Hood and Sons,V045,BOCT91297945862736,INV-98614,2025-12-08,2026-01-07,1752,3,5256,946.08,30,Operations,Julia Dixon,0,0,30,0,94744,1
Perry-Conway,V014,MCWE02343557316480,INV-49949,2026-01-07,2026-02-21,3420,7,23940,4309.2,45,Procurement,David Diaz,0,0,45,0,76060,1
Walker Ltd,V005,ZTZR90827106751458,INV-74584,2026-03-31,2026-05-30,2581,8,20648,3716.64,60,Finance,Nancy Tran,0,0,60,0,79352,1
Campos-Lutz,V042,MWYG52304614159755,INV-46299,2026-01-05,2026-02-19,2343,4,9372,1686.96,45,IT,Trevor Harrison,0,1,45,0,90628,1
Torres-Cohen,V002,UDSV27422910791394,INV-13624,2025-10-16,2025-12-15,2021,16,32336,5820.48,60,Finance,Tiffany Wilson,0,0,60,0,67664,1
Richards PLC,V047,IVYV30444890772419,INV-76799,2026-04-10,2026-05-25,2422,18,43596,7847.28,45,Procurement,Crystal Sharp,0,0,45,0,56404,1
Cherry-Stewart,V018,AOBL38383341030601,INV-15382,2026-04-03,2026-04-18,2509,15,37635,6774.3,15,Operations,Sharon Trujillo,0,0,15,0,62365,1
"Jones, Clark and Singh",V016,GHZQ83331853126068,INV-12183,2025-06-27,2025-07-27,4712,18,84816,15266.88,30,HR,Justin Henry,0,0,30,0,15184,1
Olsen-Richard,V003,XSNX63581846218700,INV-12327,2025-11-21,2026-01-05,1847,10,18470,3324.6,45,Procurement,David Buckley,0,1,45,0,81530,1
"Mckinney, Martinez and Chavez",V007,UAYE54014256436933,INV-67158,2026-04-24,2026-05-24,3786,16,60576,10903.68,30,Operations,Brenda Hubbard,0,0,30,0,39424,1
Torres and Sons,V020,OHLE21912678589664,INV-75297,2025-08-29,2025-10-28,3142,5,15710,2827.8,60,Operations,Ellen Stuart MD,0,0,60,0,84290,1
Torres-Cohen,V002,NIVS41420458140705,INV-15655,2025-09-23,2025-11-07,2357,6,14142,2545.56,45,Finance,Sarah Baldwin,0,0,45,0,85858,1
Hood and Sons,V045,EVQE17340220950307,INV-88937,2025-10-10,2025-11-24,1158,16,18528,3335.04,45,Finance,Laura Spears,0,0,45,0,81472,1
Ramos-Brown,V034,XIEH94255285766846,INV-73981,2025-07-27,2025-09-10,2363,15,35445,6380.099999999999,45,HR,Michaela Rivers,0,0,45,1,64555,1
Ramos-Brown,V034,VPRD26905439736849,INV-24979,2025-06-09,2025-07-09,604,5,3020,543.6,30,Procurement,David Jones,0,0,30,0,96980,1
Payne-Baker,V050,RIMA53176238199764,INV-33844,2026-03-16,2026-04-15,3772,12,45264,8147.519999999999,30,Operations,Christine Cain,0,0,30,0,54736,1
"Moreno, Bryant and Travis",V026,WUUU50442029092569,INV-80766,2026-05-05,2026-06-19,3328,17,56576,10183.68,45,Procurement,Jacqueline Lee,0,0,45,0,43424,1
Franklin-Bailey,V021,UCXJ59293155092794,INV-76807,2025-07-26,2025-09-24,2500,19,47500,8550.0,60,Operations,Matthew Johnson,0,0,60,1,52500,1
"Johnston, Martinez and Lowery",V049,ENKY28350905189989,INV-30481,2025-11-26,2026-01-25,2485,12,29820,5367.599999999999,60,Finance,Brian Ryan,0,0,60,0,70180,1
"Bolton, Fischer and Andersen",V028,YQJU50253617456265,INV-92115,2026-01-29,2026-03-30,911,10,9110,1639.8,60,HR,Jonathan Knight,0,0,60,0,90890,1
"Silva, Hahn and Benson",V013,OSYF72398548367587,INV-80207,2026-02-14,2026-03-31,1269,16,20304,3654.72,45,Procurement,Todd Sims,0,0,45,1,79696,1
"Adams, Hall and Bowman",V030,NEJW97479850539920,INV-21001,2026-02-02,2026-03-04,3178,8,25424,4576.32,30,Finance,Valerie Stewart,0,0,30,0,74576,1
"Bolton, Fischer and Andersen",V028,LRUT29201403056333,INV-28513,2026-06-01,2026-06-16,2364,11,26004,4680.72,15,Operations,Jordan Walker,0,0,15,0,73996,1
Holt Inc,V043,OYBF68441083719635,INV-17782,2026-01-16,2026-01-31,1064,1,1064,191.52,15,Finance,Miranda Williams,0,0,15,0,98936,1
"Werner, Arnold and Fisher",V036,ADSM46892539288933,INV-49976,2025-06-28,2025-08-27,3015,14,42210,7597.799999999999,60,Finance,Marvin Franco,0,0,60,1,57790,1
"Rodriguez, Acosta and Le",V017,FJDZ19208355306762,INV-25682,2025-12-16,2026-02-14,1949,1,1949,350.82,60,Operations,Jennifer Higgins,0,0,60,0,98051,1
Cherry-Stewart,V018,UWHE18344600632511,INV-58517,2025-12-22,2026-01-06,3638,15,54570,9822.6,15,Finance,Lauren Chambers,0,0,15,0,45430,1
Smith-Haynes,V008,UFBQ81429093286603,INV-99729,2025-06-30,2025-07-15,4379,11,48169,8670.42,15,Procurement,Theresa Smith,0,0,15,0,51831,1
"Johnston, Martinez and Lowery",V049,QCJL27956543257122,INV-44397,2025-10-08,2025-11-22,254,14,3556,640.0799999999999,45,Finance,Kelsey Reed,0,0,45,0,96444,1
"Morrow, Robertson and Lynch",V025,BUDB07981265584465,INV-50228,2026-05-11,2026-06-25,1607,14,22498,4049.64,45,Procurement,Christopher Mays,0,0,45,0,77502,1
Johnson-Peterson,V001,XQPE47326606900030,INV-20981,2026-02-26,2026-04-12,4108,11,45188,8133.84,45,HR,Deanna Lopez,0,0,45,0,54812,1
Nguyen-Taylor,V029,DTPV99300642516093,INV-11186,2025-09-01,2025-10-01,4563,3,13689,2464.02,30,HR,Olivia Carter,0,0,30,0,86311,1
Rivera and Sons,V038,VXNP02170671561932,INV-74152,2025-09-20,2025-11-04,4859,6,29154,5247.72,45,HR,Sydney Hammond,0,0,45,1,70846,1
Torres-Cohen,V002,JGNT17079029573720,INV-88527,2025-11-05,2025-12-05,4194,9,37746,6794.28,30,HR,Danny Evans,0,0,30,0,62254,1
"Cruz, Green and Flynn",V040,EFXH83306547524623,INV-69764,2026-03-10,2026-04-24,250,16,4000,720.0,45,HR,Mary Clark,0,0,45,0,96000,1
Holt Inc,V043,XNHB25142858884496,INV-10087,2025-08-05,2025-08-20,227,15,3405,612.9,15,IT,Andres Harding,0,0,15,0,96595,1
Campos-Lutz,V042,NUWG08829541444248,INV-92100,2025-11-10,2025-12-10,2644,7,18508,3331.44,30,Finance,Michael Lowe,0,0,30,0,81492,1
"Johnston, Martinez and Lowery",V049,SNEA84759505833016,INV-87228,2026-04-09,2026-05-09,2572,20,51440,9259.2,30,IT,Jesse Daniels,0,0,30,0,48560,1
Campos-Lutz,V042,DXDA99306015246255,INV-42281,2026-01-19,2026-03-20,1792,12,21504,3870.72,60,Operations,Terry Lewis,0,0,60,0,78496,1
Perry-Conway,V014,BIOM64049332675597,INV-98428,2026-04-23,2026-05-23,2795,18,50310,9055.8,30,Operations,Kyle Flores,0,0,30,0,49690,1
Thomas-Padilla,V024,IVWG77330808824850,INV-88379,2025-12-04,2026-01-18,4654,12,55848,10052.64,45,Operations,Emily Munoz,0,0,45,0,44152,1
"Silva, Hahn and Benson",V013,LCKT90701914334111,INV-95216,2026-01-31,2026-02-15,4463,1,4463,803.3399999999999,15,HR,Angelica Lee,0,0,15,1,95537,1
"Johnston, Martinez and Lowery",V049,TEIW51554944872878,INV-61422,2026-03-05,2026-05-04,1752,6,10512,1892.16,60,HR,Theresa Morgan,0,0,60,0,89488,1
"Silva, Hahn and Benson",V013,TWXV73394334321280,INV-12554,2026-02-15,2026-03-02,2296,5,11480,2066.4,15,Operations,Tara Wilson,0,0,15,1,88520,1
Smith LLC,V011,IARL61652340769164,INV-73127,2025-12-08,2026-01-22,3558,5,17790,3202.2,45,Operations,Carol Hayes,0,0,45,0,82210,1
Smith-Haynes,V008,VQWS53458524602403,INV-19115,2025-08-01,2025-09-15,901,2,1802,324.36,45,Finance,Mrs. Elizabeth Douglas,0,0,45,0,98198,1
Holt Inc,V043,KEKS61166774341649,INV-33534,2025-09-26,2025-11-25,3564,13,46332,8339.76,60,IT,Jacob Shaw,0,0,60,0,53668,1
Roberts-Hunt,V037,GJCV84644093506690,INV-19645,2025-06-25,2025-07-10,2511,13,32643,5875.74,15,Procurement,Susan Smith MD,0,0,15,0,67357,1
Smith-Haynes,V008,SMMX57864273184257,INV-28040,2026-02-26,2026-04-12,1717,11,18887,3399.66,45,HR,Ryan Galvan,0,0,45,0,81113,1
"Rodriguez, Acosta and Le",V017,NLKH97891120791097,INV-84123,2026-06-03,2026-08-02,3043,13,39559,7120.62,60,Finance,Thomas Huber,0,0,60,0,60441,1
Torres-Cohen,V002,EBSX35095948971310,INV-25033,2025-11-01,2025-11-16,2782,9,25038,4506.84,15,Operations,John Rodriguez,0,0,15,1,74962,1
Holt Inc,V043,TFPE35568626298202,INV-19582,2026-04-10,2026-04-25,2959,8,23672,4260.96,15,IT,Monica Davis,0,0,15,0,76328,1
"Johnston, Martinez and Lowery",V049,XXEO31857594235722,INV-95215,2026-04-09,2026-06-08,3336,12,40032,7205.759999999999,60,IT,Zachary Thomas,0,0,60,0,59968,1
"Moreno, Bryant and Travis",V026,WSQO63189196757289,INV-13988,2026-01-18,2026-02-17,3478,5,17390,3130.2,30,IT,Joseph Wiley,0,0,30,1,82610,1
"Quinn, Bell and Martinez",V035,RPJW59696103728488,INV-40278,2026-02-03,2026-03-05,4866,15,72990,13138.2,30,Procurement,Gary Rosales,0,0,30,0,27010,1
Franklin-Bailey,V021,QMIU66716454871742,INV-41828,2026-03-02,2026-05-01,1736,6,10416,1874.88,60,HR,Juan Diaz,0,0,60,0,89584,1
Cherry-Stewart,V018,KJLW81530941921674,INV-94975,2026-05-13,2026-07-12,1709,3,5127,922.86,60,Procurement,Christopher Dillon,0,0,60,0,94873,1
Cherry-Stewart,V018,KRSN33254636992286,INV-44058,2026-04-28,2026-05-13,364,3,1092,196.56,15,IT,Haley Gonzalez,0,0,15,0,98908,1
Carter-Young,V048,QRAY00284578959690,INV-33973,2026-04-22,2026-05-07,4035,5,20175,3631.5,15,Procurement,Michael Powers,0,0,15,0,79825,1
Thompson Group,V032,LAEA70868296246683,INV-61414,2026-04-25,2026-06-24,3115,14,43610,7849.799999999999,60,Operations,Donna Deleon,0,0,60,1,56390,1
Richards PLC,V047,ZXIX81891086515623,INV-14563,2025-10-12,2025-11-11,756,8,6048,1088.64,30,HR,Susan Ward,0,0,30,1,93952,1
Roberts-Hunt,V037,TZSY15421481328721,INV-15791,2025-08-12,2025-10-11,4583,7,32081,5774.58,60,IT,Paul Delgado,0,0,60,0,67919,1
Larsen-Jones,V022,YKXS93259241642066,INV-62274,2026-05-17,2026-06-01,1896,16,30336,5460.48,15,HR,William Avery,0,0,15,1,69664,1
Perry-Conway,V014,ZREM22180610514093,INV-50253,2025-11-27,2025-12-27,2069,19,39311,7075.98,30,Procurement,Bryan Moran,0,0,30,0,60689,1
"Quinn, Bell and Martinez",V035,TWCI10849784617485,INV-28925,2025-11-20,2025-12-20,868,11,9548,1718.64,30,Finance,Andrew Bartlett,0,0,30,0,90452,1
Torres and Sons,V020,GITO90077159126766,INV-29727,2026-02-02,2026-03-04,2681,6,16086,2895.48,30,HR,Jason Romero,0,0,30,0,83914,1
"Duran, Walsh and Murphy",V039,KXEM93908876905488,INV-39658,2025-12-22,2026-01-06,4058,4,16232,2921.76,15,Operations,Craig Stone,0,0,15,0,83768,1
"Moreno, Bryant and Travis",V026,ZKAC01276343537752,INV-15692,2026-05-14,2026-06-28,3943,12,47316,8516.88,45,Operations,Jesse Wagner,0,0,45,0,52684,1
"Morrow, Robertson and Lynch",V025,OYBX29110333062134,INV-74951,2026-01-24,2026-03-25,4237,18,76266,13727.88,60,IT,Stephen Huff DDS,0,0,60,1,23734,1
Smith LLC,V011,SYIN04339607051450,INV-61080,2025-07-22,2025-09-20,390,5,1950,351.0,60,IT,Eric Davis,0,0,60,0,98050,1
Thomas-Padilla,V024,XHGO51241327307767,INV-70787,2025-07-28,2025-08-12,2419,4,9676,1741.6799999999998,15,Finance,Dr. Claudia Beck,0,0,15,0,90324,1
"Adams, Hall and Bowman",V030,TJIU43153495448099,INV-54988,2026-01-19,2026-03-05,2117,15,31755,5715.9,45,HR,Dr. Christopher Ball,0,0,45,0,68245,1
Johnson-Peterson,V001,SSRU85619454623693,INV-28962,2025-06-26,2025-08-25,3244,10,32440,5839.2,60,IT,Daniel Nash,0,0,60,0,67560,1
Conway-Wilson,V033,VTUA32074143844679,INV-88655,2026-04-08,2026-04-23,3354,9,30186,5433.48,15,HR,Tyler Guerra,0,0,15,0,69814,1
Nguyen-Taylor,V029,OGEV59222799097443,INV-91964,2026-03-10,2026-05-09,4712,3,14136,2544.48,60,Procurement,Matthew Williams,0,0,60,0,85864,1
Nguyen-Taylor,V029,SOYY47466159426966,INV-65311,2025-12-01,2025-12-16,1743,13,22659,4078.62,15,Operations,Jesse Crosby,0,0,15,0,77341,1
"Robbins, Hughes and Johnson",V006,HEVH85406866326591,INV-80900,2025-09-04,2025-10-19,1519,18,27342,4921.56,45,HR,Luke Harrison,0,0,45,0,72658,1
"Cruz, Green and Flynn",V040,QAOR35632673201633,INV-11594,2026-04-14,2026-06-13,3761,14,52654,9477.72,60,Operations,Brandon Gutierrez,0,0,60,0,47346,1
"Robbins, Hughes and Johnson",V006,VMNC07755443741889,INV-70029,2026-01-12,2026-03-13,4741,3,14223,2560.14,60,IT,Kevin Bass,0,0,60,0,85777,1
Mueller-Burke,V009,CMRI92541985621533,INV-42702,2026-01-18,2026-03-19,4548,2,9096,1637.28,60,Operations,Beverly Reynolds,0,0,60,1,90904,1
"Pruitt, Moreno and Carter",V031,KZLG09939260315317,INV-18783,2026-03-28,2026-05-12,4621,10,46210,8317.8,45,Procurement,Rachel Miller,0,0,45,1,53790,1
"Bolton, Fischer and Andersen",V028,QYSX93706104836037,INV-33475,2025-08-19,2025-10-18,337,9,3033,545.9399999999999,60,Procurement,Charles Kane,0,0,60,0,96967,1
"Moreno, Bryant and Travis",V026,WKKR22538995092426,INV-29927,2026-01-29,2026-02-13,2601,8,20808,3745.44,15,Finance,Janet Williams,0,0,15,0,79192,1
"Silva, Hahn and Benson",V013,UHRX46683440894833,INV-92115,2025-07-13,2025-07-28,4335,3,13005,2340.9,15,HR,Robert Armstrong,0,0,15,1,86995,1
Smith-Haynes,V008,TZFW29885885758588,INV-83551,2025-12-07,2025-12-22,257,3,771,138.78,15,Procurement,Carolyn Hardy,0,0,15,1,99229,1
"Duran, Walsh and Murphy",V039,YWBU97446322842889,INV-56685,2026-04-01,2026-04-16,3925,12,47100,8478.0,15,HR,Dennis Yang,0,0,15,0,52900,1
"Rodriguez, Acosta and Le",V017,QAWB00413472658373,INV-68658,2025-10-03,2025-12-02,2259,10,22590,4066.2,60,Finance,Anita Christensen,0,0,60,0,77410,1
Carter-Young,V048,UFBV36474937111462,INV-69472,2026-02-10,2026-04-11,3518,18,63324,11398.32,60,IT,Amber Owens,0,0,60,0,36676,1
Campos-Lutz,V042,UWRD31312302373586,INV-60046,2026-05-27,2026-07-26,498,6,2988,537.84,60,HR,Justin Howard,0,0,60,0,97012,1
Thompson Group,V032,SKCW54109763934226,INV-87472,2026-04-13,2026-06-12,788,2,1576,283.68,60,Finance,Christopher Suarez,0,1,60,0,98424,1
"Quinn, Bell and Martinez",V035,GKUD74054484263031,INV-84238,2026-03-09,2026-05-08,4892,7,34244,6163.92,60,HR,Daniel Nelson,0,0,60,0,65756,1
"Adams, Hall and Bowman",V030,BCAN86679860699021,INV-83873,2025-10-28,2025-12-12,4801,10,48010,8641.8,45,Procurement,Alec Holland,0,0,45,0,51990,1
Cherry-Stewart,V018,YHVA09209487388546,INV-64344,2025-12-30,2026-02-28,3569,13,46397,8351.46,60,Operations,Joshua King,0,0,60,0,53603,1
Nguyen-Taylor,V029,JAOD65777420635045,INV-42996,2026-01-05,2026-03-06,3316,8,26528,4775.04,60,HR,Gabrielle Stark,0,0,60,0,73472,1
Franklin-Bailey,V021,WOJJ89504096795278,INV-30348,2026-01-25,2026-03-26,214,1,214,38.52,60,Operations,Wayne Dunlap,0,0,60,1,99786,1
Payne-Baker,V050,EDWY91446911195471,INV-34432,2026-05-18,2026-07-17,2505,15,37575,6763.5,60,IT,Paul Patton,0,0,60,0,62425,1
"Adams, Hall and Bowman",V030,PQNI47697320779212,INV-31491,2025-12-03,2026-01-02,2211,15,33165,5969.7,30,Finance,Holly Aguilar,0,0,30,0,66835,1
Walker Ltd,V005,TKQK61761173594408,INV-92800,2025-12-14,2026-01-28,3723,4,14892,2680.56,45,Finance,Dylan Gordon,0,0,45,1,85108,1
Johnson-Peterson,V001,KMYX13271027869029,INV-70736,2026-03-26,2026-05-25,2696,10,26960,4852.8,60,Operations,James Ortiz,0,0,60,0,73040,1
"Adams, Hall and Bowman",V030,ABVV84973809020498,INV-19173,2025-10-03,2025-12-02,2687,20,53740,9673.2,60,Finance,Denise Martinez,0,0,60,0,46260,1
"Moreno, Bryant and Travis",V026,NROF53556932527844,INV-51042,2026-03-20,2026-05-19,1888,7,13216,2378.88,60,HR,Wendy Wolfe,0,0,60,0,86784,1
Perry-Conway,V014,SVCQ14788683039828,INV-79746,2025-10-14,2025-10-29,1721,12,20652,3717.36,15,Finance,Lauren Peck,0,0,15,0,79348,1
"Mckinney, Martinez and Chavez",V007,GUTA30938870300357,INV-74930,2025-10-03,2025-12-02,4351,4,17404,3132.72,60,HR,Tracy Taylor,0,0,60,0,82596,1
"Rice, Holloway and Kim",V019,LWSJ81053725238440,INV-13910,2025-12-19,2026-02-17,1510,14,21140,3805.2,60,Operations,Karen Evans,0,0,60,0,78860,1
Nguyen-Taylor,V029,ENYI93469648802832,INV-32131,2025-10-30,2025-12-29,4294,18,77292,13912.56,60,Finance,Janet Mendoza,0,0,60,0,22708,1
Conway-Wilson,V033,PIAP58911851104437,INV-85605,2025-10-24,2025-12-23,163,17,2771,498.78,60,Procurement,Paula Lopez,0,0,60,0,97229,1
Rivera and Sons,V038,OGHK69777610784694,INV-41187,2025-07-15,2025-08-29,890,8,7120,1281.6,45,Operations,Richard Willis,0,0,45,0,92880,1
Franklin-Bailey,V021,VACQ53982213228126,INV-16808,2025-12-09,2025-12-24,3600,12,43200,7776.0,15,Procurement,Renee Monroe,0,0,15,0,56800,1
"Moreno, Bryant and Travis",V026,VNIW14199123462087,INV-35169,2025-12-01,2026-01-30,4545,5,22725,4090.5,60,Procurement,Sarah Anderson,0,0,60,0,77275,1
Conway-Wilson,V033,NCCZ98267120826931,INV-68146,2025-10-03,2025-11-17,4166,7,29162,5249.16,45,Finance,Lindsey Martin,0,0,45,0,70838,1
"Duran, Walsh and Murphy",V039,LYKK05380187763296,INV-65577,2026-03-08,2026-04-22,4517,9,40653,7317.54,45,IT,Brian Mack,0,0,45,1,59347,1
Galvan Group,V044,MXMB28759635241493,INV-44923,2025-10-06,2025-11-05,1162,20,23240,4183.2,30,Procurement,Daniel Alexander,0,0,30,0,76760,1
Holt Inc,V043,HAHR49845973032711,INV-74868,2025-08-26,2025-09-25,953,1,953,171.54,30,Procurement,Rhonda Diaz,0,0,30,0,99047,1
Huerta-Carr,V015,IKPY27920743134736,INV-62774,2026-02-10,2026-02-25,974,13,12662,2279.16,15,IT,Robert Williams,0,0,15,0,87338,1
Williams-Rios,V012,PDNH41505153986348,INV-88880,2025-07-29,2025-08-28,3089,15,46335,8340.3,30,Operations,Margaret Mueller,0,0,30,0,53665,1
Hull-Hernandez,V041,NGHF87509817930402,INV-46191,2026-04-03,2026-04-18,478,7,3346,602.28,15,Procurement,Denise Jacobs,0,0,15,0,96654,1
"Quinn, Bell and Martinez",V035,DZNR06601084444931,INV-28355,2025-08-18,2025-10-17,321,2,642,115.56,60,HR,Cassandra Lewis,0,0,60,0,99358,1
Roberts-Hunt,V037,ABZA66818460296889,INV-73647,2026-06-02,2026-08-01,1242,5,6210,1117.8,60,Operations,Michelle Rangel,0,0,60,0,93790,1
Smith LLC,V011,QXVK12839425942959,INV-77126,2025-09-07,2025-11-06,3515,13,45695,8225.1,60,Operations,Xavier Rodriguez,0,0,60,1,54305,1
Payne-Baker,V050,FBLQ99083160510927,INV-11888,2025-08-24,2025-10-08,4699,17,79883,14378.94,45,Operations,Daniel Johnson,0,0,45,1,20117,1
"Robbins, Hughes and Johnson",V006,FKIE84553199917601,INV-10015,2025-09-03,2025-10-18,922,14,12908,2323.44,45,Procurement,Morgan Cooke,0,0,45,0,87092,1
"Werner, Arnold and Fisher",V036,RRKN72086917206527,INV-89752,2026-04-16,2026-05-31,3790,2,7580,1364.4,45,Procurement,Gerald Phillips,0,0,45,0,92420,1
Cherry-Stewart,V018,ZAFI14591198436777,INV-92938,2025-09-20,2025-11-04,500,11,5500,990.0,45,HR,Melissa Small,0,0,45,1,94500,1
"Mckinney, Martinez and Chavez",V007,ZFER03570880404911,INV-62938,2026-01-15,2026-03-16,4038,16,64608,11629.44,60,Procurement,Madeline Moore,0,0,60,0,35392,1
Holt Inc,V043,ABXY02510518717072,INV-28799,2025-12-21,2026-01-20,4007,19,76133,13703.94,30,Operations,Christopher Ward,0,0,30,1,23867,1
Galvan Group,V044,HPHM88059014988867,INV-75765,2026-05-13,2026-05-28,4549,7,31843,5731.74,15,IT,Joshua Young,0,0,15,0,68157,1
Payne-Baker,V050,FCZG44575308554499,INV-69606,2025-06-25,2025-07-10,4362,1,4362,785.16,15,HR,Ann Murphy,0,0,15,0,95638,1
Thomas-Padilla,V024,DCKI90256180692086,INV-83996,2025-06-24,2025-07-09,132,17,2244,403.92,15,Operations,Carla Underwood,0,0,15,0,97756,1
"Duran, Walsh and Murphy",V039,YKRG51379911782015,INV-69163,2025-12-28,2026-02-11,4157,13,54041,9727.38,45,HR,Patrick Jones,0,0,45,1,45959,1
Weeks-Dodson,V046,AMOG96783748002602,INV-66992,2026-04-26,2026-06-10,4775,6,28650,5157.0,45,Procurement,Lindsay Miles,0,0,45,1,71350,1
"Moreno, Bryant and Travis",V026,OZRN13581629707807,INV-27182,2025-06-08,2025-08-07,3610,6,21660,3898.8,60,HR,Elizabeth Fox,0,0,60,1,78340,1
"Werner, Arnold and Fisher",V036,ZQQE68374823144394,INV-39748,2025-08-26,2025-10-10,2912,6,17472,3144.96,45,HR,Heather Duncan,0,0,45,0,82528,1
"Silva, Hahn and Benson",V013,GXZQ36715956353447,INV-56970,2026-03-20,2026-05-04,103,5,515,92.7,45,Operations,Matthew Rodriguez,0,0,45,0,99485,1
Larsen-Jones,V022,KCBR54990216577268,INV-45553,2025-11-05,2025-11-20,2113,20,42260,7606.799999999999,15,Operations,Norma Wilson,0,0,15,0,57740,1
"Rodriguez, Acosta and Le",V017,ASMV02371853534553,INV-64177,2025-09-12,2025-09-27,2449,5,12245,2204.1,15,Operations,Lynn Gray,0,0,15,0,87755,1
Cherry-Stewart,V018,YTAI73718851903927,INV-29672,2026-02-19,2026-04-05,3578,7,25046,4508.28,45,Finance,Timothy Garcia,0,0,45,0,74954,1
"Mckinney, Martinez and Chavez",V007,WNHE68431674648112,INV-88432,2025-12-21,2026-01-20,2876,13,37388,6729.84,30,Procurement,Joseph Torres,0,0,30,1,62612,1
Smith-Haynes,V008,PMLN36236608372036,INV-70345,2025-09-27,2025-11-26,4328,1,4328,779.04,60,Procurement,Kevin Rollins,0,0,60,1,95672,1
